candidate_number,name,display_name,nickname_or_handle,card_title_draft,primary_projects_to_verify,category,candidate_strength,validation_status,portrait_status,manual_review_notes,source_url_1,source_url_2,portrait_reference_url_1,portrait_reference_url_2,selected_for_final_deck
1,Richard Stallman,Richard Stallman,rms,GNU / Free Software,GNU; FSF; GCC; Emacs; GPL,Free software / GNU,strong,needs_source_validation,verified likeness likely,Verify current legal/publicity risk separately; use sourced exact claims only.,,,,,no
2,Linus Torvalds,Linus Torvalds,,Linux / Git,Linux kernel; Git,Kernel / tools,strong,needs_source_validation,verified likeness likely,,,,,,no
3,Aaron Swartz,Aaron Swartz,,Open web / RSS,RSS; web.py; Open Library; Creative Commons metadata,Web / open knowledge,strong,needs_source_validation,deceased; verify estate/publicity concerns,Do not overstate RSS role; source exact wording.,,,,,no
4,TJ Holowaychuk,TJ Holowaychuk,tj,Node ecosystem libraries,Express.js; Mocha; Commander.js; Jade/Pug; Stylus,JavaScript / Node,strong,needs_source_validation,verified likeness likely,Do NOT label as Node.js creator.,,,,,no
5,Guido van Rossum,Guido van Rossum,,Python,Python,Languages,strong,needs_source_validation,verified likeness likely,,,,,,no
6,Yukihiro Matsumoto,Yukihiro “Matz” Matsumoto,Matz,Ruby,Ruby,Languages,strong,needs_source_validation,verified likeness likely,,,,,,no
7,Larry Wall,Larry Wall,,Perl,Perl; patch; rn,Languages,strong,needs_source_validation,verified likeness likely,,,,,,no
8,Brendan Eich,Brendan Eich,,JavaScript / Mozilla,JavaScript; Mozilla; Firefox ecosystem,Web / browsers,strong,needs_source_validation,verified likeness likely,,,,,,no
9,Rasmus Lerdorf,Rasmus Lerdorf,,PHP,PHP,Languages / web,strong,needs_source_validation,verified likeness likely,,,,,,no
10,David Heinemeier Hansson,David Heinemeier Hansson,DHH,Ruby on Rails,Ruby on Rails; Basecamp OSS ecosystem,Web frameworks,strong,needs_source_validation,verified likeness likely,,,,,,no
11,Ryan Dahl,Ryan Dahl,,Node.js / Deno,Node.js; Deno,JavaScript runtimes,strong,needs_source_validation,verified likeness likely,Must be listed as creator of Node.js.,,,,,no
12,Evan You,Evan You,yyx990803,Vue / Vite,Vue.js; Vite; Vitest,JavaScript frameworks,strong,needs_source_validation,verified likeness likely,,,,,,no
13,Rich Harris,Rich Harris,,Svelte / Rollup,Svelte; SvelteKit; Rollup,JavaScript frameworks,strong,needs_source_validation,verified likeness likely,,,,,,no
14,Jordan Walke,Jordan Walke,,React,React; Reason/ReasonML ecosystem,JavaScript frameworks,strong,needs_source_validation,verified likeness likely,,,,,,no
15,Dan Abramov,Dan Abramov,gaearon,Redux / React education,Redux; Create React App; React docs/community,JavaScript / React,strong,needs_source_validation,verified likeness likely,Verify role descriptions; avoid calling him React creator.,,,,,no
16,Sebastian McKenzie,Sebastian McKenzie,sebmck,Babel / Yarn / Biome,Babel; Yarn; Rome; Biome,JavaScript tooling,strong,needs_source_validation,verified likeness likely,,,,,,no
17,Isaac Z. Schlueter,Isaac Z. Schlueter,isaacs,npm,npm; Node.js ecosystem,JavaScript tooling,strong,needs_source_validation,verified likeness likely,,,,,,no
18,Matt Mullenweg,Matt Mullenweg,,WordPress,WordPress; Automattic OSS ecosystem,CMS / web,strong,needs_source_validation,verified likeness likely,,,,,,no
19,Dries Buytaert,Dries Buytaert,,Drupal,Drupal,CMS / web,strong,needs_source_validation,verified likeness likely,,,,,,no
20,Brian Behlendorf,Brian Behlendorf,,Apache,Apache HTTP Server; Apache Software Foundation,Web servers / foundations,strong,needs_source_validation,verified likeness likely,,,,,,no
21,Roy Fielding,Roy Fielding,,HTTP / REST / Apache,Apache HTTP Server; HTTP specs; REST architectural style,Web architecture,strong,needs_source_validation,verified likeness likely,"Careful: REST is architecture/dissertation, not software project.",,,,,no
22,Eric S. Raymond,Eric S. Raymond,ESR,Open source advocacy,fetchmail; The Cathedral and the Bazaar; OSI,Advocacy / tools,strong,needs_source_validation,verified likeness likely,,,,,,no
23,Bruce Perens,Bruce Perens,,Open Source Definition,Debian Free Software Guidelines; Open Source Definition; BusyBox,Licensing / embedded,strong,needs_source_validation,verified likeness likely,,,,,,no
24,Ian Murdock,Ian Murdock,,Debian,Debian,Linux distributions,strong,needs_source_validation,deceased; verify estate/publicity concerns,,,,,,no
25,Mark Shuttleworth,Mark Shuttleworth,,Ubuntu,Ubuntu; Launchpad; Canonical OSS ecosystem,Linux distributions,strong,needs_source_validation,verified likeness likely,,,,,,no
26,Theo de Raadt,Theo de Raadt,,OpenBSD / OpenSSH,OpenBSD; OpenSSH,BSD / security,strong,needs_source_validation,verified likeness likely,,,,,,no
27,D. Richard Hipp,D. Richard Hipp,,SQLite / Fossil,SQLite; Fossil SCM,Databases / tools,strong,needs_source_validation,verified likeness likely,,,,,,no
28,Fabrice Bellard,Fabrice Bellard,,FFmpeg / QEMU,FFmpeg; QEMU; TinyCC; Bellard.org projects,Multimedia / emulation,strong,needs_source_validation,verified likeness likely,,,,,,no
29,Andrew Tridgell,Andrew Tridgell,tridge,Samba / rsync,Samba; rsync,Networking / filesystems,strong,needs_source_validation,verified likeness likely,,,,,,no
30,Bram Moolenaar,Bram Moolenaar,,Vim,Vim,Editors,strong,needs_source_validation,deceased; verify estate/publicity concerns,,,,,,no
31,Brian Fox,Brian Fox,,Bash,GNU Bash; GNU readline ecosystem,Shells / GNU,strong,needs_source_validation,portrait manual review likely,,,,,,no
32,Werner Koch,Werner Koch,,GnuPG,GnuPG,Crypto / privacy,strong,needs_source_validation,verified likeness likely,,,,,,no
33,Miguel de Icaza,Miguel de Icaza,,GNOME / Mono,GNOME; Mono; Xamarin OSS ecosystem,Desktop / runtimes,strong,needs_source_validation,verified likeness likely,,,,,,no
34,Federico Mena Quintero,Federico Mena Quintero,,GNOME / GTK ecosystem,GNOME; GNOME Calendar; librsvg; GTK/GIMP ecosystem,Desktop,strong,needs_source_validation,verified likeness likely,,,,,,no
35,Havoc Pennington,Havoc Pennington,,GNOME / freedesktop.org,GNOME; freedesktop.org; D-Bus ecosystem,Desktop,strong,needs_source_validation,verified likeness likely,,,,,,no
36,Keith Packard,Keith Packard,,X.Org / fontconfig,X.Org; fontconfig; Cairo/X graphics ecosystem,Graphics / desktop,strong,needs_source_validation,verified likeness likely,,,,,,no
37,Lennart Poettering,Lennart Poettering,,systemd / PulseAudio,systemd; PulseAudio; Avahi,Linux userspace,strong,needs_source_validation,verified likeness likely,,,,,,no
38,Greg Kroah-Hartman,Greg Kroah-Hartman,gregkh,Linux stable kernel,Linux kernel stable releases; driver core; Linux Foundation work,Kernel,strong,needs_source_validation,verified likeness likely,,,,,,no
39,Alan Cox,Alan Cox,,Linux kernel,Linux kernel; early Linux networking/security work,Kernel,strong,needs_source_validation,verified likeness likely,,,,,,no
40,Chris Lattner,Chris Lattner,,LLVM / Clang,LLVM; Clang; Swift; MLIR,Compilers,strong,needs_source_validation,verified likeness likely,,,,,,no
41,Graydon Hoare,Graydon Hoare,,Rust,Rust language,Languages,strong,needs_source_validation,verified likeness likely,,,,,,no
42,Steve Klabnik,Steve Klabnik,steveklabnik,Rust docs/community,Rust documentation; Rails/Rust community work,Languages / docs,medium,needs_source_validation,verified likeness likely,Avoid overstating creator role.,,,,,no
43,Salvatore Sanfilippo,Salvatore Sanfilippo / antirez,antirez,Redis,Redis; hping; Tcl hacking,Databases,strong,needs_source_validation,verified likeness likely,,,,,,no
44,Michael Widenius,Michael “Monty” Widenius,Monty,MySQL / MariaDB,MySQL; MariaDB,Databases,strong,needs_source_validation,verified likeness likely,,,,,,no
45,Brad Fitzpatrick,Brad Fitzpatrick,bradfitz,memcached / OpenID,memcached; OpenID; LiveJournal OSS; Go contributions,Infrastructure / web,strong,needs_source_validation,verified likeness likely,,,,,,no
46,Solomon Hykes,Solomon Hykes,,Docker,Docker,Containers,strong,needs_source_validation,verified likeness likely,,,,,,no
47,Mitchell Hashimoto,Mitchell Hashimoto,mitchellh,HashiCorp OSS,Vagrant; Terraform; Packer; Consul; Nomad,DevOps / infra,strong,needs_source_validation,verified likeness likely,,,,,,no
48,Taylor Otwell,Taylor Otwell,,Laravel,Laravel; Forge ecosystem,PHP frameworks,strong,needs_source_validation,verified likeness likely,,,,,,no
49,Jeremy Ashkenas,Jeremy Ashkenas,jashkenas,CoffeeScript / Backbone,CoffeeScript; Backbone.js; Underscore.js,JavaScript libraries,strong,needs_source_validation,portrait manual review likely,,,,,,no
50,Daniel Stenberg,Daniel Stenberg,bagder,curl,curl; libcurl,Networking tools,strong,needs_source_validation,verified likeness likely,,,,,,no
51,Satoshi Nakamoto,Satoshi Nakamoto,,Bitcoin,Bitcoin; Bitcoin whitepaper; original Bitcoin software,Crypto / pseudonymous,manual_review,needs_source_validation,no verified likeness; use symbolic art only,Pseudonymous; do not generate a realistic face.,,,,,no
52,Vitalik Buterin,Vitalik Buterin,,Ethereum,Ethereum; Ethereum whitepaper/ecosystem,Crypto / blockchain,strong,needs_source_validation,verified likeness likely,,,,,,no
53,Gavin Wood,Gavin Wood,,Ethereum / Solidity / Polkadot,Ethereum; Solidity; Polkadot; Substrate,Crypto / blockchain,strong,needs_source_validation,verified likeness likely,,,,,,no
54,Joseph Lubin,Joseph Lubin,,Ethereum / ConsenSys,Ethereum; ConsenSys OSS ecosystem,Crypto / blockchain,medium,needs_source_validation,verified likeness likely,Verify open-source contributor angle versus company/founder role.,,,,,no
55,Charles Hoskinson,Charles Hoskinson,,Ethereum / Cardano,Ethereum; Cardano ecosystem,Crypto / blockchain,medium,needs_source_validation,verified likeness likely,Verify OSS contribution angle and avoid investment claims.,,,,,no
56,Hal Finney,Hal Finney,,PGP / Bitcoin early contributor,PGP; Bitcoin early testing/contribution,Crypto / security,strong,needs_source_validation,deceased; verify estate/publicity concerns,,,,,,no
57,Adam Back,Adam Back,,Hashcash / Bitcoin ecosystem,Hashcash; Bitcoin ecosystem; Blockstream OSS,Crypto / security,strong,needs_source_validation,verified likeness likely,,,,,,no
58,Pieter Wuille,Pieter Wuille,sipa,Bitcoin Core,Bitcoin Core; SegWit; libsecp256k1,Crypto / blockchain,strong,needs_source_validation,verified likeness likely,,,,,,no
59,Wladimir van der Laan,Wladimir van der Laan,laanwj,Bitcoin Core maintainer,Bitcoin Core,Crypto / blockchain,strong,needs_source_validation,portrait manual review likely,,,,,,no
60,Matt Corallo,Matt Corallo,TheBlueMatt,Bitcoin Core / Lightning,Bitcoin Core; rust-lightning,Crypto / blockchain,strong,needs_source_validation,verified likeness likely,,,,,,no
61,Gregory Maxwell,Gregory Maxwell,gmaxwell,Bitcoin Core / privacy crypto,Bitcoin Core; libsecp256k1; Blockstream OSS,Crypto / blockchain,strong,needs_source_validation,portrait manual review likely,,,,,,no
62,Zooko Wilcox-O'Hearn,Zooko Wilcox-O'Hearn,Zooko,Zcash / Tahoe-LAFS,Zcash; Tahoe-LAFS,Crypto / distributed systems,strong,needs_source_validation,verified likeness likely,,,,,,no
63,Bram Cohen,Bram Cohen,,BitTorrent,BitTorrent protocol/software; Chia ecosystem,P2P / crypto,strong,needs_source_validation,verified likeness likely,Verify which BitTorrent implementations/license claims fit.,,,,,no
64,Phil Zimmermann,Phil Zimmermann,,PGP,Pretty Good Privacy; OpenPGP ecosystem,Crypto / privacy,strong,needs_source_validation,verified likeness likely,,,,,,no
65,Moxie Marlinspike,Moxie Marlinspike,,Signal Protocol,Signal Protocol; Signal; TextSecure,Crypto / privacy,strong,needs_source_validation,verified likeness likely,,,,,,no
66,Trevor Perrin,Trevor Perrin,,Signal / Noise protocols,Signal Protocol; Noise Protocol Framework,Crypto / protocols,strong,needs_source_validation,portrait manual review likely,,,,,,no
67,Daniel J. Bernstein,Daniel J. Bernstein,djb,Crypto/network software,qmail; djbdns; NaCl; Curve25519 ecosystem,Crypto / security,strong,needs_source_validation,verified likeness likely,Check licenses; qmail historically public-domain-ish release details.,,,,,no
68,Tatu Ylönen,Tatu Ylönen,,SSH,SSH protocol/software,Security / networking,strong,needs_source_validation,verified likeness likely,Verify OSS versus commercial SSH history carefully.,,,,,no
69,Damien Miller,Damien Miller,djm,OpenSSH,OpenSSH,Security / networking,strong,needs_source_validation,portrait manual review likely,,,,,,no
70,Niels Provos,Niels Provos,,OpenSSH / libevent,OpenSSH; bcrypt; libevent,Security / networking,strong,needs_source_validation,verified likeness likely,,,,,,no
71,Dug Song,Dug Song,,Security tools / OpenSSH ecosystem,dsniff; OpenSSH ecosystem; libdnet,Security,strong,needs_source_validation,verified likeness likely,,,,,,no
72,Gordon Lyon,Gordon Lyon / Fyodor,Fyodor,Nmap,Nmap,Security tools,strong,needs_source_validation,verified likeness likely,,,,,,no
73,HD Moore,HD Moore,,Metasploit,Metasploit Framework,Security tools,strong,needs_source_validation,verified likeness likely,,,,,,no
74,Solar Designer,Solar Designer,,Openwall / John the Ripper,Openwall; John the Ripper ecosystem,Security tools,strong,needs_source_validation,manual review; public likeness may be limited,,,,,,no
75,Alexander Peslyak,Alexander Peslyak,Solar Designer,John the Ripper / Openwall,John the Ripper; Openwall,Security tools,strong,needs_source_validation,manual review; same person as Solar Designer? verify,Check whether to merge with Solar Designer row; likely same person/handle.,,,,,no
76,Michal Zalewski,Michal Zalewski,lcamtuf,AFL / security research tools,American Fuzzy Lop; p0f; security tools,Security tools,strong,needs_source_validation,verified likeness likely,,,,,,no
77,Tavis Ormandy,Tavis Ormandy,,Security research tooling,Project Zero OSS tools; vulnerability research tooling,Security,medium,needs_source_validation,verified likeness likely,Verify specific OSS projects before final deck.,,,,,no
78,Renaud Deraison,Renaud Deraison,,Nessus,Nessus original open-source scanner,Security tools,medium,needs_source_validation,verified likeness likely,Verify open-source-era framing.,,,,,no
79,Tim Berners-Lee,Tim Berners-Lee,,World Wide Web,WorldWideWeb; libwww; W3C open web,Web foundations,strong,needs_source_validation,verified likeness likely,"Frame as web/open standards plus early open software, not generic OSS only.",,,,,no
80,Jamie Zawinski,Jamie Zawinski,jwz,Mozilla / XScreenSaver,Netscape/Mozilla; XScreenSaver,Browsers / desktop,strong,needs_source_validation,verified likeness likely,,,,,,no
81,Mitchell Baker,Mitchell Baker,,Mozilla,Mozilla open-source organization; Mozilla Public License ecosystem,Browsers / foundations,medium,needs_source_validation,verified likeness likely,Mostly organizational leadership; verify creator/developer fit.,,,,,no
82,Blake Ross,Blake Ross,,Firefox,Firefox,Browsers,medium,needs_source_validation,verified likeness likely,Verify co-creator role and OSS contribution scope.,,,,,no
83,Dave Hyatt,Dave Hyatt,,Firefox / WebKit,Firefox; WebKit; Safari/WebKit ecosystem,Browsers,strong,needs_source_validation,verified likeness likely,,,,,,no
84,Ian Hickson,Ian Hickson,Hixie,HTML5 / WHATWG,HTML5; WHATWG specs; web-platform tests ecosystem,Web standards,medium,needs_source_validation,portrait manual review likely,Standards/editor role; verify OSS project angle.,,,,,no
85,Anne van Kesteren,Anne van Kesteren,annevk,WHATWG / web standards,DOM; Fetch; URL standards; WHATWG,Web standards,medium,needs_source_validation,verified likeness likely,Standards/editor role; verify OSS project angle.,,,,,no
86,Domenic Denicola,Domenic Denicola,domenic,WHATWG / Node ecosystem,HTML/Streams standards; Node.js ecosystem,Web standards / JS,medium,needs_source_validation,verified likeness likely,,,,,,no
87,Mathias Bynens,Mathias Bynens,mathias,V8 / JavaScript tooling,V8; Babel ecosystem; JavaScript tooling,JavaScript tooling,strong,needs_source_validation,verified likeness likely,,,,,,no
88,John Resig,John Resig,,jQuery,jQuery; Processing.js,JavaScript libraries,strong,needs_source_validation,verified likeness likely,,,,,,no
89,Yehuda Katz,Yehuda Katz,wycats,Ember / Bundler / Rails,Ember.js; Bundler; Rust/TC39 work; Rails ecosystem,Web frameworks / tooling,strong,needs_source_validation,verified likeness likely,,,,,,no
90,Tom Dale,Tom Dale,,Ember,Ember.js,JavaScript frameworks,medium,needs_source_validation,verified likeness likely,,,,,,no
91,Sam Stephenson,Sam Stephenson,,Prototype / Rails ecosystem,Prototype.js; Ruby on Rails ecosystem; Turbolinks,JavaScript / Rails,strong,needs_source_validation,portrait manual review likely,,,,,,no
92,Alex Russell,Alex Russell,slightlylate,Dojo / web platform,Dojo Toolkit; web components/PWA advocacy,JavaScript / web platform,medium,needs_source_validation,verified likeness likely,Verify exact open-source contributions.,,,,,no
93,Dylan Schiemann,Dylan Schiemann,,Dojo Toolkit,Dojo Toolkit,JavaScript frameworks,medium,needs_source_validation,verified likeness likely,,,,,,no
94,James Halliday,James Halliday / substack,substack,browserify / Node modules,browserify; tape; Node.js module ecosystem,JavaScript tooling,strong,needs_source_validation,verified likeness likely,,,,,,no
95,Tobias Koppers,Tobias Koppers,sokra,webpack,webpack,JavaScript tooling,strong,needs_source_validation,verified likeness likely,,,,,,no
96,Nicholas C. Zakas,Nicholas C. Zakas,,ESLint,ESLint; YUI ecosystem,JavaScript tooling,strong,needs_source_validation,verified likeness likely,,,,,,no
97,Feross Aboukhadijeh,Feross Aboukhadijeh,feross,WebTorrent / StandardJS,WebTorrent; StandardJS; Node security tooling,JavaScript / P2P,strong,needs_source_validation,verified likeness likely,,,,,,no
